name,context,state,source
Michael Carnovale,"Manager of Advanced Acoustic Concepts, LLC in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Advanced', first entity (ADVANCED ACOUSTIC CONCEPTS, LLC), first non-agent officer"
John J. Madia,"Incorporator of All American Ad And Cap Company in Charleston, West Virginia",WV,"WV SOS registry, keyword 'All American', first entity (ALL AMERICAN AD AND CAP COMPANY), first non-agent officer"
George Niotis,"Director of Allied & Behavioral Healthcare Inc in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Allied', first entity (ALLIED & BEHAVIORAL HEALTHCARE INC), first non-agent officer"
John Beal,"President of American Beer Company, Inc. in Charleston, West Virginia",WV,"WV SOS registry, keyword 'American', first entity (AMERICAN BEER COMPANY, INC.), first non-agent officer"
Craig Peddicord,"Director of Atlantic Power & Light Co. in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Atlantic', first entity (ATLANTIC POWER & LIGHT CO.), first non-agent officer"
Christopher A. Clary,"Member of Capital ""C"" Land Services, LLC in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Capital', first entity (CAPITAL ""C"" LAND SERVICES, LLC), first non-agent officer"
Dell O. Mason,"Incorporator of Central & Russell, Inc. in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Central', first entity (CENTRAL & RUSSELL, INC.), first non-agent officer"
Michaela Everette,"Member of Coastal + Captured LLC in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Coastal', first entity (COASTAL + CAPTURED LLC), first non-agent officer"
Holly B. Childs,"Incorporator of Community & Economic Development Consultants, Inc. in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Community', first entity (COMMUNITY & ECONOMIC DEVELOPMENT CONSULTANTS, INC.), first non-agent officer"
"Pdc Energy, Inc.","General Partner of Eastern 1984 Limited Partnership in Charleston, West Virginia",WV,"WV SOS registry, keyword 'Eastern', first entity (EASTERN 1984 LIMITED PARTNERSHIP), first non-agent officer"
Donald A Ceseretti,"Incorporator of Advanced Adjusting & Consulting Inc in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Advanced', first entity (ADVANCED ADJUSTING & CONSULTING INC), first non-agent officer"
Ronald B Bello,"President of All American Amateur Athletic Association in Providence, Rhode Island",RI,"RI SOS registry, keyword 'All American', first entity (All American Amateur Athletic Association), first non-agent officer"
Diane Mazzacano,"President of Allied Account Services, Inc. in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Allied', first entity (Allied Account Services, Inc.), first non-agent officer"
John Mariani,"President of American Academy Of Addiction Psychiatry in Providence, Rhode Island",RI,"RI SOS registry, keyword 'American', first entity (American Academy of Addiction Psychiatry), first non-agent officer"
Elijah Norton,"President of Central Administrative Service Corporation Inc in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Central', first entity (Central Administrative Service Corporation Inc), first non-agent officer"
B. Joseph Reddish Iii,"President of Community 2000 Education Foundation in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Community', first entity (Community 2000 Education Foundation), first non-agent officer"
Joseph P Courtney Jr,"President of Eastern Account System Of Connecticut, Inc. in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Eastern', first entity (Eastern Account System of Connecticut, Inc.), first non-agent officer"
Dorothy J. Lebeau,"President of F.I.R.S.T. Inspections in Providence, Rhode Island",RI,"RI SOS registry, keyword 'First', first entity (F.I.R.S.T. Inspections), first non-agent officer"
Ralph Dejesus,"President of National Water Main Cleaning Company in Providence, Rhode Island",RI,"RI SOS registry, keyword 'National', first entity (National Water Main Cleaning Company), first non-agent officer"
Paul F Mercure,"Treasurer of Northern in Providence, Rhode Island",RI,"RI SOS registry, keyword 'Northern', first entity (Northern), first non-agent officer"
